Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,BENJAMÍ,MIXT,Divendres,19:00 h,"VULL QUE ELS DOS EQUIPS QUE TINC, JUGUIN EN EL MATEIX TORN DE JORNADA TANT A CASA COM A FORA. NO VULL QUE S'ALTERNIN, PERQUÈ SINÓ M'ES IMPOSSIBLE LOGÍSTICAMENT. ELS DOS DE LOCALS I ELS DOS DE VISITANTS."
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,2,FUTBOL 5,BENJAMÍ,MIXT,Divendres,20:00 h,
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,10:00 h,
"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Casa,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:00 h,
Club Esportiu Mediterrani,Club Esportiu Mediterrani,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,10:00 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,FUTBOL 5,BENJAMÍ,MIXT,Divendres,19:00 h,
"EFS Vesuvi ""A""",Trinitat Unió Esportiva,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:40 h,
"Club Joventut Les Corts ""A""",Club Joventut Les Corts,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,Casa,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,09:00 h,
"CE La Salle Gracia ""Groc""",CE La Salle Gracia,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:30 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:30 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,1,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,10:00 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:00 h,LLIGA DELS DIVENDRES
"OAK House British School ""B""",OAK House British School,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:00 h,lLLIGA DELS DIVENDRES
"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,BENJAMÍ,MIXT,Divendres,19:15 h,
Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,09:00 h,
Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:30 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,11:30 h,
EVEREST Prosperitat P,Escola de Futbol Sala Prosperitat,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,11:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Jesuïtes Casp ""A""",Jesuïtes Casp,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,3,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,11:15 h,
