Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:00 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,Fora,Divendres,18:00 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,19:15 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,Fora,Divendres,18:00 h,
"CE Vincit-Provençalenc ""C""",CE Vincit-Provençalenc,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,19:15 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Fora,Divendres,19:15 h,
Col·legi SAFA Horta,Col·legi SAFA Horta,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:00 h,
"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Dissabte,11:00 h,
"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Casa,Dissabte,12:00 h,
Centre Montserrat-Xavier,Centre Montserrat-Xavier,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,8,Divendres,19:30 h,
Futsal Dante,Futsal Dante,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,19:30 h,
"Escola Brasil (FPC CET 10) ""A""",Escola Brasil (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,,Divendres,18:15 h,
